NAME,ID,POSITION,BIRTH DATE,NATIONALITY,MARKET VALUE
Weverton,1170,Goalkeeper,1987-12-13,Brazil,Unknown
Alisson,1795,Goalkeeper,1992-10-02,Brazil,€28.00m
Ederson,3222,Goalkeeper,1993-08-17,Brazil,€35.00m
Dani Alves,3223,Defence,1983-05-06,Brazil,Unknown
Alex Telles,15904,Defence,1992-12-15,Brazil,Unknown
Éverton Ribeiro,1548,Midfield,1989-04-10,Brazil,Unknown
Fred,3232,Midfield,1993-03-05,Brazil,Unknown
Fabinho,8749,Midfield,1993-10-23,Brazil,€25.00m
Pedro,1077,Offence,1997-06-20,Brazil,€23.00m
Neymar,8491,Offence,1992-02-05,Brazil,€30.00m
Antony,97085,Right Winger,2000-02-24,Brazil,€25.00m
Martinelli,61450,Left Winger,2001-06-18,Brazil,Unknown
Raphinha,37428,Right Winger,1996-12-14,Brazil,€50.00m
Richarlison,8133,Centre-Forward,1997-05-10,Brazil,€38.00m
Danilo,7881,Centre-Back,1991-07-15,Brazil,€28.00m
Gabriel Jesus,3236,Centre-Forward,1997-04-03,Brazil,€65.00m
Casemiro,3231,Defensive Midfield,1992-02-23,Brazil,Unknown
Marquinhos,3225,Centre-Back,1994-05-14,Brazil,€50.00m
Thiago Silva,3224,Centre-Back,1984-09-22,Brazil,Unknown
Alex Sandro,2028,Left-Back,1991-01-26,Brazil,Unknown
Bruno Guimarães,1684,Defensive Midfield,1997-11-16,Brazil,€85.00m
Vinicius Junior,1556,Left Winger,2000-07-12,Brazil,€180.00m
Lucas Paquetá,1543,Attacking Midfield,1997-08-27,Brazil,€65.00m
Éder Militão,1337,Centre-Back,1998-01-18,Brazil,€60.00m
Rodrygo,1324,Right Winger,2001-01-09,Brazil,€110.00m
Bremer,1106,Centre-Back,1997-03-18,Brazil,€60.00m
