NAME,ID,POSITION,BIRTH DATE,NATIONALITY,MARKET VALUE
Jordan Pickford,3309,Goalkeeper,1994-03-07,England,€22.00m
Nick Pope,3310,Goalkeeper,1992-04-19,England,Unknown
Aaron Ramsdale,5530,Goalkeeper,1998-05-14,England,€25.00m
Jude Bellingham,125010,Attacking Midfield,2003-06-29,England,€180.00m
Conor Gallagher,119265,Central Midfield,2000-02-06,England,€50.00m
Bukayo Saka,99813,Right Winger,2001-09-05,England,€140.00m
Callum Wilson,8251,Centre-Forward,1992-02-27,England,Unknown
Declan Rice,8215,Defensive Midfield,1999-01-14,England,€120.00m
Harry Kane,8004,Centre-Forward,1993-07-28,England,€100.00m
Luke Shaw,7898,Left-Back,1995-07-12,England,€32.00m
Phil Foden,7888,Right Winger,2000-05-28,England,€150.00m
Trent Alexander-Arnold,7867,Right-Back,1998-10-07,England,€70.00m
Mason Mount,7599,Attacking Midfield,1999-01-10,England,€35.00m
Ben White,6154,Right-Back,1997-10-08,England,€55.00m
Kalvin Phillips,4147,Defensive Midfield,1995-12-02,England,€25.00m
Conor Coady,4083,Centre-Back,1993-02-25,England,Unknown
James Maddison,3992,Attacking Midfield,1996-11-23,England,€70.00m
Jack Grealish,3895,Left Winger,1995-09-10,England,€60.00m
Marcus Rashford,3331,Left Winger,1997-10-31,England,€60.00m
Raheem Sterling,3329,Left Winger,1994-12-08,England,€35.00m
Harry Maguire,3326,Centre-Back,1993-03-05,England,Unknown
Jordan Henderson,3320,Central Midfield,1990-06-17,England,Unknown
Eric Dier,3314,Centre-Back,1994-01-15,England,Unknown
John Stones,3313,Centre-Back,1994-05-28,England,€38.00m
Kieran Trippier,3312,Right-Back,1990-09-19,England,Unknown
Kyle Walker,3311,Right-Back,1990-05-28,England,Unknown
